id,OMP_NUM_THREADS,instr,cyc,stall_cyc,l1d_miss,l2d_acc,l2d_miss,l3_acc,dtlb_m,itlb_m,vec_sp,vec_dp,sp_op,dp_op,fp_scl_sin,fp_scl_dbl,lst_instr
gemm.papi5wr6390ggby4wwxb,4,68751170,20829121,2868867,2096622,762685,3995454,3998247,28007,7,0,16875520,0,33685504,0,65536,25329784
gemm.papi5wr6390ggby4wwxb,4,68751170,20957253,3123455,2090137,1030470,4103158,4100033,28126,8,0,16875520,0,33685504,0,65536,25329785
gemm.papi5wr6390ggby4wwxb,4,68751170,20838965,2966565,2090095,1775106,4026464,4027808,22487,5,0,16875520,0,33685504,0,65536,25329784
gemm.papi5wr6390ggby4wwxb,4,68751170,20516507,2595586,2097255,758925,3991777,3994988,28184,5,0,16875520,0,33685504,0,65536,25329784
gemm.papi5wr6390ggby4wwxb,4,68751171,20539577,2482595,2097212,749174,3951389,3949080,28193,5,0,16875520,0,33685504,0,65536,25329785
gemm.papi5wr6390ggby4wwxb,5,68751171,20487577,2464887,2097369,754578,4031310,4036580,28169,8,0,16875520,0,33685504,0,65536,25329783
gemm.papi5wr6390ggby4wwxb,5,68751170,21205503,3340779,2090321,1754247,4015461,4013507,30158,5,0,16875520,0,33685504,0,65536,25329700
gemm.papi5wr6390ggby4wwxb,5,68751170,20929059,3164973,2090111,1773983,4095078,4096673,29708,6,0,16875520,0,33685504,0,65536,25329781
gemm.papi5wr6390ggby4wwxb,5,68751170,21272332,3414486,2097245,722874,4168243,4179291,28427,3,0,16875520,0,33685504,0,65536,25329785
gemm.papi5wr6390ggby4wwxb,5,68751170,20795054,3051547,2090153,1764450,4087926,4089566,29865,6,0,16875520,0,33685504,0,65536,25329785
gemm.papi5wr6390ggby4wwxb,5,68751171,20986035,3117756,2090163,1758633,4223268,4216602,29685,5,0,16875520,0,33685504,0,65536,25329783
gemm.papi5wr6390ggby4wwxb,5,68751171,21027607,3177632,2090279,1768327,3987548,3988092,29459,2,0,16875520,0,33685504,0,65536,25329785
gemm.papi5wr6390ggby4wwxb,5,68751170,20676475,2837779,2090072,1794080,3885743,3884355,30657,3,0,16875520,0,33685504,0,65536,25329784
gemm.papi5wr6390ggby4wwxb,5,68751171,20802230,2954076,2090179,1778623,3903682,3886882,28074,4,0,16875520,0,33685504,0,65536,25329784
