id,threads,time,n,O3,OpenMP,source
gemmovpm68bvjhni5dsf,17,0.000197,100,1,0,gemm
gemmovpm68bvjhni5dsf,17,0.000206,100,1,0,gemm
gemmovpm68bvjhni5dsf,17,0.000154,100,1,0,gemm
gemmovpm68bvjhni5dsf,17,0.000175,100,1,0,gemm
gemmovpm68bvjhni5dsf,17,0.000155,100,1,0,gemm
gemmovpm68bvjhni5dsf,17,0.000148,100,1,0,gemm
gemmovpm68bvjhni5dsf,17,0.000163,100,1,0,gemm
gemmovpm68bvjhni5dsf,17,0.000152,100,1,0,gemm
gemmovpm68bvjhni5dsf,17,0.00019,100,1,0,gemm
gemmovpm68bvjhni5dsf,19,0.000159,100,1,0,gemm
gemmovpm68bvjhni5dsf,19,0.000151,100,1,0,gemm
gemmovpm68bvjhni5dsf,19,0.000194,100,1,0,gemm
gemmovpm68bvjhni5dsf,19,0.00015,100,1,0,gemm
gemmovpm68bvjhni5dsf,19,0.00015,100,1,0,gemm
gemmovpm68bvjhni5dsf,19,0.000191,100,1,0,gemm
gemmovpm68bvjhni5dsf,19,0.000152,100,1,0,gemm
gemmovpm68bvjhni5dsf,19,0.000149,100,1,0,gemm
gemmovpm68bvjhni5dsf,19,0.000184,100,1,0,gemm
gemmovpm68bvjhni5dsf,19,0.000151,100,1,0,gemm
gemmovpm68bvjhni5dsf,21,0.000199,100,1,0,gemm
gemmovpm68bvjhni5dsf,21,0.00019,100,1,0,gemm
gemmovpm68bvjhni5dsf,21,0.000148,100,1,0,gemm
gemmovpm68bvjhni5dsf,21,0.000191,100,1,0,gemm
gemmovpm68bvjhni5dsf,21,0.000191,100,1,0,gemm
gemmovpm68bvjhni5dsf,21,0.000151,100,1,0,gemm
gemmovpm68bvjhni5dsf,21,0.00015,100,1,0,gemm
gemmovpm68bvjhni5dsf,21,0.000152,100,1,0,gemm
gemmovpm68bvjhni5dsf,21,0.000195,100,1,0,gemm
gemmovpm68bvjhni5dsf,21,0.00015,100,1,0,gemm
gemmovpm68bvjhni5dsf,23,0.000193,100,1,0,gemm
gemmovpm68bvjhni5dsf,23,0.000154,100,1,0,gemm
gemmovpm68bvjhni5dsf,23,0.000149,100,1,0,gemm
gemmovpm68bvjhni5dsf,23,0.000196,100,1,0,gemm
gemmovpm68bvjhni5dsf,23,0.000155,100,1,0,gemm
gemmovpm68bvjhni5dsf,23,0.000195,100,1,0,gemm
gemmovpm68bvjhni5dsf,23,0.000153,100,1,0,gemm
gemmovpm68bvjhni5dsf,23,0.000151,100,1,0,gemm
gemmovpm68bvjhni5dsf,23,0.000156,100,1,0,gemm
gemmovpm68bvjhni5dsf,23,0.000156,100,1,0,gemm
gemmovpm68bvjhni5dsf,25,0.000202,100,1,0,gemm
gemmovpm68bvjhni5dsf,25,0.000154,100,1,0,gemm
gemmovpm68bvjhni5dsf,25,0.000196,100,1,0,gemm
gemmovpm68bvjhni5dsf,25,0.000193,100,1,0,gemm
gemmovpm68bvjhni5dsf,25,0.000152,100,1,0,gemm
gemmovpm68bvjhni5dsf,25,0.00019,100,1,0,gemm
gemmovpm68bvjhni5dsf,25,0.00019,100,1,0,gemm
gemmovpm68bvjhni5dsf,25,0.000172,100,1,0,gemm
gemmovpm68bvjhni5dsf,25,0.00019,100,1,0,gemm
gemmovpm68bvjhni5dsf,25,0.000195,100,1,0,gemm
gemmovpm68bvjhni5dsf,27,0.000153,100,1,0,gemm
gemmovpm68bvjhni5dsf,27,0.000159,100,1,0,gemm
gemmovpm68bvjhni5dsf,27,0.000151,100,1,0,gemm
gemmovpm68bvjhni5dsf,27,0.000163,100,1,0,gemm
gemmovpm68bvjhni5dsf,27,0.000153,100,1,0,gemm
gemmovpm68bvjhni5dsf,27,0.000206,100,1,0,gemm
gemmovpm68bvjhni5dsf,27,0.000191,100,1,0,gemm
gemmovpm68bvjhni5dsf,27,0.000192,100,1,0,gemm
gemmovpm68bvjhni5dsf,27,0.000157,100,1,0,gemm
gemmovpm68bvjhni5dsf,27,0.000211,100,1,0,gemm
gemmovpm68bvjhni5dsf,29,0.000195,100,1,0,gemm
gemmovpm68bvjhni5dsf,29,0.000195,100,1,0,gemm
gemmovpm68bvjhni5dsf,29,0.000154,100,1,0,gemm
gemmovpm68bvjhni5dsf,29,0.000162,100,1,0,gemm
gemmovpm68bvjhni5dsf,29,0.0002,100,1,0,gemm
gemmovpm68bvjhni5dsf,29,0.000149,100,1,0,gemm
gemmovpm68bvjhni5dsf,29,0.000163,100,1,0,gemm
gemmovpm68bvjhni5dsf,29,0.000197,100,1,0,gemm
