id,threads,instr,cyc,stall_cyc,l1d_miss,l2d_acc,l2d_miss,l3_acc,dtlb_m,itlb_m,vec_sp,vec_dp,sp_op,dp_op,fp_scl_sin,fp_scl_dbl,lst_instr,source
gemm.evallab.papi0y379n8gwgbww6px,3,151718998,110962518,60117582,17094114,17091415,40858741,40866611,20279,5,0,50364416,0,50397184,0,50331648,50495622,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,4,151719000,122899595,64213823,17146672,17112149,39826743,39819672,21545,5,0,50364416,0,50397184,0,50331648,50495623,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,4,151718999,116405995,65225767,17147023,17118337,40144726,40134211,20735,5,0,50364416,0,50397184,0,50331648,50495607,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,4,151718999,116232354,64940584,17182241,17152099,40001563,39997121,21193,4,0,50364416,0,50397184,0,50331648,50495454,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,4,151719001,117231692,65824584,17125097,17101894,40022907,39998435,22249,7,0,50364416,0,50397184,0,50331648,50495627,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,4,151718999,116714088,65426686,17139890,17105299,40281331,40307411,20181,5,0,50364416,0,50397184,0,50331648,50494943,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,4,151719000,116284464,65184963,17207900,17168388,39637384,39641654,20796,3,0,50364416,0,50397184,0,50331648,50495125,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,4,151719000,117285491,64387931,17114953,17088936,40010298,39938377,20330,2,0,50364416,0,50397184,0,50331648,50494731,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,4,151718999,110601631,59867880,17129734,17097964,40616748,40584094,21398,5,0,50364416,0,50397184,0,50331648,50495623,gemm.evallab.c
gemm.evallab.papi0y379n8gwgbww6px,4,151718999,117878233,66501144,17198882,17167709,40967248,40976239,21668,4,0,50364416,0,50397184,0,50331648,50494216,gemm.evallab.c
