id,threads,instr,cyc,stall_cyc,l1d_miss,l2d_acc,l2d_miss,l3_acc,dtlb_m,itlb_m,vec_sp,vec_dp,sp_op,dp_op,fp_scl_sin,fp_scl_dbl,lst_instr
gemm.papi5wr6390ggby4wwxb,1.0000,"68,751,170.2000","20,699,601.0000","2,770,537.8000","2,094,411.8000","1,152,946.0000","4,040,296.1000","4,041,395.6000","28,658.0000",5.1000,0.0000,"16,875,520.0000",0.0000,"33,685,504.0000",0.0000,"65,536.0000","25,329,779.7000"
gemm.papi5wr6390ggby4wwxb,2.0000,"68,751,170.6000","20,872,096.3000","2,953,509.7000","2,093,461.5000","1,254,358.6000","4,019,460.2000","4,019,910.0000","28,518.8000",5.3000,0.0000,"16,875,520.0000",0.0000,"33,685,504.0000",0.0000,"65,536.0000","25,329,783.6000"
gemm.papi5wr6390ggby4wwxb,3.0000,"68,751,170.6000","20,675,150.8000","2,767,876.1000","2,092,973.7000","1,305,157.8000","3,934,604.7000","3,931,351.4000","28,664.1000",4.9000,0.0000,"16,875,520.0000",0.0000,"33,685,504.0000",0.0000,"65,536.0000","25,329,782.8000"
gemm.papi5wr6390ggby4wwxb,4.0000,"68,751,170.2000","20,679,978.2000","2,734,147.0000","2,094,338.1000","1,089,589.1000","3,964,774.7000","3,965,851.4000","27,925.1000",5.0000,0.0000,"16,875,520.0000",0.0000,"33,685,504.0000",0.0000,"65,536.0000","25,329,777.9000"
gemm.papi5wr6390ggby4wwxb,5.0000,"68,751,170.4000","20,894,234.7000","3,038,570.3000","2,091,594.0000","1,565,155.2000","4,046,604.2000","4,046,015.6000","28,750.9000",4.5000,0.0000,"16,875,520.0000",0.0000,"33,685,504.0000",0.0000,"65,536.0000","25,329,775.4000"
gemm.papi5wr6390ggby4wwxb,6.0000,"68,751,170.5000","20,739,401.0000","2,738,100.7000","2,093,729.9000","1,266,687.3000","3,950,626.1000","3,949,652.4000","28,842.6000",4.4000,0.0000,"16,875,520.0000",0.0000,"33,685,504.0000",0.0000,"65,536.0000","25,329,767.2000"
gemm.papi5wr6390ggby4wwxb,7.0000,"68,751,171.0000","20,879,106.1000","2,926,197.1000","2,091,513.7000","1,569,341.1000","4,002,403.6000","4,002,208.0000","29,640.6000",7.2000,0.0000,"16,875,520.0000",0.0000,"33,685,504.0000",0.0000,"65,536.0000","25,329,783.7000"
gemm.papi5wr6390ggby4wwxb,8.0000,"68,751,170.5000","20,877,620.2000","2,836,826.4000","2,095,146.6000","942,028.8000","4,003,535.8000","4,003,864.7000","27,824.4000",4.6000,0.0000,"16,875,520.0000",0.0000,"33,685,504.0000",0.0000,"65,536.0000","25,329,777.2000"
