id,threads,instr,cyc,stall_cyc,l1d_miss,l2d_acc,l2d_miss,l3_acc,dtlb_m,itlb_m,vec_sp,vec_dp,sp_op,dp_op,fp_scl_sin,fp_scl_dbl,lst_instr,source,n
gemm.openmp.papib81n49sek9rg08de,4,136461562,43596896,6141783,4196593,1571362,8417605,8421337,63923,30,0,33652744,0,67239944,0,65544,50599794,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,4,136457553,42558250,5815592,4197030,1585786,8429514,8436287,63881,21,0,33652744,0,67239944,0,65544,50598557,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,4,136456278,43790309,6054811,4197012,1573462,8424971,8426537,64011,20,0,33652744,0,67239944,0,65544,50598662,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,4,136456277,42760534,5981913,4196994,1590138,8442429,8445638,63786,46,0,33652744,0,67239944,0,65544,50599264,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,4,136464112,43402709,5910639,4196856,1595445,8460256,8459123,63832,21,0,33652744,0,67239944,0,65544,50599926,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,4,136457280,43709414,5850760,4196920,1585271,8420838,8417693,63708,27,0,33652744,0,67239944,0,65544,50600103,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,4,136456278,43063391,5952995,4197496,1588562,8421587,8421464,63719,57,0,33652744,0,67239944,0,65544,50597926,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,4,136473534,42689199,5887304,4196570,1603395,8465627,8466246,63945,15,0,33652744,0,67239944,0,65544,50599646,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,4,136456278,42863640,5893766,4196661,1587928,8440553,8431682,63967,27,0,33652744,0,67239944,0,65544,50597771,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,4,136465345,42601912,5842430,4196695,1601011,8462320,8469964,63898,27,0,33652744,0,67239944,0,65544,50599989,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,5,109830327,34588924,4885110,3377511,1263200,6811626,6802431,51483,20,0,27079944,0,54107144,0,52744,40715836,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,5,109806203,34586732,5012176,3377437,1263913,6800368,6798387,51432,16,0,27079944,0,54107144,0,52744,40715651,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,5,109810972,34499510,4927229,3377379,1268575,6788270,6792386,51461,26,0,27079944,0,54107144,0,52744,40715858,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,5,109806202,34554896,4726972,3377305,1277507,6811773,6794752,51542,90,0,27079944,0,54107144,0,52744,40715649,gemm.openmp.c,512
gemm.openmp.papib81n49sek9rg08de,5,109807914,34853680,4875041,3377726,1275110,6798365,6803491,51464,24,0,27079944,0,54107144,0,52744,40715625,gemm.openmp.c,512
