id,threads,stall_cyc,vec_ops,cyc,source,n
gemm.openmp0ltm8akbmgipivco,4,792182,4218888,5516607,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,936833,4218888,5571156,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,920916,4218888,5521986,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,925186,4218888,5468191,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,925293,4218888,5526637,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,892244,4218888,5513538,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,778731,4218888,5485473,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,816662,4218888,5441903,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,857068,4218888,5475192,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,793876,4218888,5416198,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,835684,4218888,5441745,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,1212117,4218888,7933954,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,983512,4218888,5434641,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,860191,4218888,5438838,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,864959,4218888,5501907,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,826078,4218888,5415169,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,688360,4218888,5375706,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,758624,4218888,5433039,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,749036,4218888,5492064,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,4,914973,4218888,5523401,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,675822,3427848,4478940,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,770328,3427848,4520366,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,645255,3427848,4421572,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,751647,3427848,4531661,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,729334,3427848,4482560,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,788054,3427848,4530062,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,732104,3427848,4486708,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,799460,3427848,4532354,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,728038,3427848,4401632,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,796917,3427848,4539765,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,762320,3427848,4514527,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,765100,3427848,4511504,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,705404,3427848,4454037,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,706912,3427848,4476063,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,723437,3427848,4457993,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,615760,3427848,4404860,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,786033,3427848,4511869,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,650102,3427848,4449552,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,769881,3427848,4500606,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,5,703177,3427848,4443768,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,619499,2834568,3731351,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,503235,2834568,3665502,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,543329,2834568,3675934,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,549868,2834568,3673831,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,590540,2834568,3673944,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,638158,2834568,3719756,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,570390,2834568,3727254,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,600955,2834568,5903194,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,504501,2834568,3663618,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,605002,2834568,3699678,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,605826,2834568,3696313,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,594095,2834568,3710083,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,567645,2834568,3680019,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,584328,2834568,3703822,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,592373,2834568,3682864,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,582847,2834568,3686244,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,552144,2834568,3669211,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,593457,2834568,3694761,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,547062,2834568,3655617,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,6,620996,2834568,3722517,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,490378,2439048,3169315,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,467188,2439048,3201760,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,458714,2439048,3144455,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,472775,2439048,3191262,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,477049,2439048,3164957,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,475879,2439048,3196225,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,472742,2439048,3161909,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,459058,2439048,3204127,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,500989,2439048,3177009,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,504758,2439048,3178220,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,461218,2439048,3190199,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,487648,2439048,3202685,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,487529,2439048,3202584,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,527612,2439048,3180544,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,494857,2439048,3184602,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,519600,2439048,3196563,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,509093,2439048,3176092,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,484909,2439048,3207123,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,514246,2439048,3187274,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,7,500324,2439048,3189977,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,436809,2109448,2819723,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,389371,2109448,2786075,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,443981,2109448,2771896,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,427533,2109448,2824064,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,403275,2109448,2808800,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,430534,2109448,2793129,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,399695,2109448,2811792,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,422275,2109448,2808692,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,409602,2109448,2789128,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,414756,2109448,2798843,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,401629,2109448,2789763,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,406244,2109448,2801217,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,429207,2109448,2857900,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,425745,2109448,2820319,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,437539,2109448,2814860,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,393787,2109448,2798675,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,414393,2109448,2801268,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,362081,2109448,2787139,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,434904,2109448,2796304,gemm.openmp.c,256
gemm.openmp0ltm8akbmgipivco,8,403148,2109448,2816107,gemm.openmp.c,256
gemm.openmp38y2dj74sk8jwm8f,1,177602427,1075314696,1276908162,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,183481036,1075314696,1255294310,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,195095979,1075314696,1255345613,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,185225690,1075314696,1256109515,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,192386268,1075314696,1257345308,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,184694100,1075314696,1258474702,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,196889353,1075314696,1252747285,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,185242042,1075314696,1270124799,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,190283525,1075314696,1254903243,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,185493194,1075314696,1256622614,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,197079356,1075314696,1255079307,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,192368620,1075314696,1255156871,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,198952523,1075314696,1255202354,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,198648343,1075314696,1256116181,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,198512661,1075314696,1255384987,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,184331210,1075314696,1258556955,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,191270244,1075314696,1252572267,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,186659233,1075314696,1257219559,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,184306330,1075314696,1255310559,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,1,186321445,1075314696,1253859472,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,105232523,537657352,628369130,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,100514068,537657352,625923965,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,91494873,537657352,626354812,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,93590577,537657352,623431568,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,97991822,537657352,626024496,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,91269972,537657352,627028546,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,99635109,537657352,627609401,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,97625473,537657352,625317407,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,93261228,537657352,626922245,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,96671151,537657352,628195750,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,96255058,537657352,627112972,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,97275703,537657352,626930680,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,92622151,537657352,625985352,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,87856416,537657352,628507954,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,90027861,537657351,625913670,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,94896386,537657350,623335328,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,95683386,537657350,626644969,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,91869410,537657350,625599237,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,100057285,537657350,627851560,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,2,97239896,537657350,626906177,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,62410987,359138310,432526997,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,78536007,359138310,431457971,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,64695133,359138310,433795044,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,60867863,359138310,434584749,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,61789987,359138310,433368818,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,61278701,359138310,431434450,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,73875629,359138310,430767529,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,78529020,359138310,432666299,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,67057906,359138310,431968906,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,63698106,359138310,429819471,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,63632564,359138310,431484493,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,76226065,359138310,432475972,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,75010651,359138310,432727813,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,62363861,359138310,433188841,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,70588815,359138310,432489840,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,70103788,359138310,434461512,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,60596011,359138310,431608726,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,60864596,359138310,431370479,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,60971939,359138310,431389925,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,3,59839213,359138310,431876239,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,57020457,268828678,324442121,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,58407182,268828678,325147611,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,56230717,268828678,325326400,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,59766596,268828678,326005400,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,52921950,268828678,329198913,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,55451486,268828678,325383005,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,56295445,268828678,327117826,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,58576581,268828678,325854988,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,53213811,268828680,325718523,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,59108037,268828680,322714116,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,59859899,268828680,325587437,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,57795046,268828680,325282167,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,60748803,268828680,326889728,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,59567925,268828680,323086983,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,57160277,268828680,326322295,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,55289828,268828680,325201931,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,57449370,268828680,325922259,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,55172066,268828680,323985412,gemm.openmp.c,1024
gemm.openmp38y2dj74sk8jwm8f,4,53268247,268828680,325667923,gemm.openmp.c,1024
