id,OMP_NUM_THREADS,exec_time
gemm.openmpf78x2dpjwkc3u6wb,19,0.018918
gemm.openmpf78x2dpjwkc3u6wb,19,0.018744
gemm.openmpf78x2dpjwkc3u6wb,19,0.018956
gemm.openmpf78x2dpjwkc3u6wb,20,0.019616
gemm.openmpf78x2dpjwkc3u6wb,20,0.019511
gemm.openmpf78x2dpjwkc3u6wb,20,0.019365
gemm.openmpf78x2dpjwkc3u6wb,20,0.019669
gemm.openmpf78x2dpjwkc3u6wb,20,0.019630
gemm.openmpf78x2dpjwkc3u6wb,21,0.018972
gemm.openmpf78x2dpjwkc3u6wb,21,0.018736
gemm.openmpf78x2dpjwkc3u6wb,21,0.018574
gemm.openmpf78x2dpjwkc3u6wb,21,0.018610
gemm.openmpf78x2dpjwkc3u6wb,21,0.018378
gemm.openmpf78x2dpjwkc3u6wb,22,0.017530
gemm.openmpf78x2dpjwkc3u6wb,22,0.017866
gemm.openmpf78x2dpjwkc3u6wb,22,0.017688
gemm.openmpf78x2dpjwkc3u6wb,22,0.017915
gemm.openmpf78x2dpjwkc3u6wb,22,0.017932
gemm.openmpf78x2dpjwkc3u6wb,23,0.017138
gemm.openmpf78x2dpjwkc3u6wb,23,0.017542
gemm.openmpf78x2dpjwkc3u6wb,23,0.017260
gemm.openmpf78x2dpjwkc3u6wb,23,0.016939
gemm.openmpf78x2dpjwkc3u6wb,23,0.017020
gemm.openmpf78x2dpjwkc3u6wb,24,0.016500
gemm.openmpf78x2dpjwkc3u6wb,24,0.016373
gemm.openmpf78x2dpjwkc3u6wb,24,0.016509
gemm.openmpf78x2dpjwkc3u6wb,24,0.016576
gemm.openmpf78x2dpjwkc3u6wb,24,0.016624
gemm.openmpf78x2dpjwkc3u6wb,25,0.016066
gemm.openmpf78x2dpjwkc3u6wb,25,0.016153
gemm.openmpf78x2dpjwkc3u6wb,25,0.015974
gemm.openmpf78x2dpjwkc3u6wb,25,0.016369
gemm.openmpf78x2dpjwkc3u6wb,25,0.016005
gemm.openmpf78x2dpjwkc3u6wb,26,0.015942
gemm.openmpf78x2dpjwkc3u6wb,26,0.015619
gemm.openmpf78x2dpjwkc3u6wb,26,0.015531
gemm.openmpf78x2dpjwkc3u6wb,26,0.015421
gemm.openmpf78x2dpjwkc3u6wb,26,0.015650
gemm.openmpf78x2dpjwkc3u6wb,27,0.015149
gemm.openmpf78x2dpjwkc3u6wb,27,0.015362
gemm.openmpf78x2dpjwkc3u6wb,27,0.015309
gemm.openmpf78x2dpjwkc3u6wb,27,0.015382
gemm.openmpf78x2dpjwkc3u6wb,27,0.015281
gemm.openmpf78x2dpjwkc3u6wb,28,0.015059
gemm.openmpf78x2dpjwkc3u6wb,28,0.014740
gemm.openmpf78x2dpjwkc3u6wb,28,0.014843
gemm.openmpf78x2dpjwkc3u6wb,28,0.014552
gemm.openmpf78x2dpjwkc3u6wb,28,0.014549
gemm.openmpf78x2dpjwkc3u6wb,29,0.014490
gemm.openmpf78x2dpjwkc3u6wb,29,0.014458
gemm.openmpf78x2dpjwkc3u6wb,29,0.014415
gemm.openmpf78x2dpjwkc3u6wb,29,0.014486
gemm.openmpf78x2dpjwkc3u6wb,29,0.014390
gemm.openmpf78x2dpjwkc3u6wb,30,0.014174
gemm.openmpf78x2dpjwkc3u6wb,30,0.014019
gemm.openmpf78x2dpjwkc3u6wb,30,0.013849
gemm.openmpf78x2dpjwkc3u6wb,30,0.014054
gemm.openmpf78x2dpjwkc3u6wb,30,0.014097
gemm.openmpf78x2dpjwkc3u6wb,31,0.013648
gemm.openmpf78x2dpjwkc3u6wb,31,0.016801
gemm.openmpf78x2dpjwkc3u6wb,31,0.013656
gemm.openmpf78x2dpjwkc3u6wb,31,0.013732
gemm.openmpf78x2dpjwkc3u6wb,31,0.013796
gemm.openmp8eqb57beg5u1azw6,1,0.002514
gemm.openmp8eqb57beg5u1azw6,1,0.002478
gemm.openmp8eqb57beg5u1azw6,1,0.002459
gemm.openmp8eqb57beg5u1azw6,1,0.002441
gemm.openmp8eqb57beg5u1azw6,1,0.002490
gemm.openmp8eqb57beg5u1azw6,2,0.002371
gemm.openmp8eqb57beg5u1azw6,2,0.002339
gemm.openmp8eqb57beg5u1azw6,2,0.002667
gemm.openmp8eqb57beg5u1azw6,2,0.002367
gemm.openmp8eqb57beg5u1azw6,2,0.002617
gemm.openmp8eqb57beg5u1azw6,3,0.001834
gemm.openmp8eqb57beg5u1azw6,3,0.001616
gemm.openmp8eqb57beg5u1azw6,3,0.001609
gemm.openmp8eqb57beg5u1azw6,3,0.001612
gemm.openmp8eqb57beg5u1azw6,3,0.001605
gemm.openmp8eqb57beg5u1azw6,4,0.001121
gemm.openmp8eqb57beg5u1azw6,4,0.001277
gemm.openmp8eqb57beg5u1azw6,4,0.001359
gemm.openmp8eqb57beg5u1azw6,4,0.001259
gemm.openmp8eqb57beg5u1azw6,4,0.001397
gemm.openmp8eqb57beg5u1azw6,5,0.001033
gemm.openmp8eqb57beg5u1azw6,5,0.000963
gemm.openmp8eqb57beg5u1azw6,5,0.001034
gemm.openmp8eqb57beg5u1azw6,5,0.000983
gemm.openmp8eqb57beg5u1azw6,5,0.001019
gemm.openmp8eqb57beg5u1azw6,6,0.000868
gemm.openmp8eqb57beg5u1azw6,6,0.000996
gemm.openmp8eqb57beg5u1azw6,6,0.000873
gemm.openmp8eqb57beg5u1azw6,6,0.000849
gemm.openmp8eqb57beg5u1azw6,6,0.001015
gemm.openmp8eqb57beg5u1azw6,7,0.000905
gemm.openmp8eqb57beg5u1azw6,7,0.000831
gemm.openmp8eqb57beg5u1azw6,7,0.000778
gemm.openmp8eqb57beg5u1azw6,7,0.000760
gemm.openmp8eqb57beg5u1azw6,7,0.000746
gemm.openmp8eqb57beg5u1azw6,8,0.000623
gemm.openmp8eqb57beg5u1azw6,8,0.000649
gemm.openmp8eqb57beg5u1azw6,8,0.000654
gemm.openmp8eqb57beg5u1azw6,8,0.000720
gemm.openmp8eqb57beg5u1azw6,8,0.000736
gemm.openmp8eqb57beg5u1azw6,9,0.000596
gemm.openmp8eqb57beg5u1azw6,9,0.000614
gemm.openmp8eqb57beg5u1azw6,9,0.000616
gemm.openmp8eqb57beg5u1azw6,9,0.000592
gemm.openmp8eqb57beg5u1azw6,9,0.000559
gemm.openmp8eqb57beg5u1azw6,10,0.000547
gemm.openmp8eqb57beg5u1azw6,10,0.000515
gemm.openmp8eqb57beg5u1azw6,10,0.000531
gemm.openmp8eqb57beg5u1azw6,10,0.000535
gemm.openmp8eqb57beg5u1azw6,10,0.000549
gemm.openmp8eqb57beg5u1azw6,11,0.000476
gemm.openmp8eqb57beg5u1azw6,11,0.000484
gemm.openmp8eqb57beg5u1azw6,11,0.000521
gemm.openmp8eqb57beg5u1azw6,11,0.000513
gemm.openmp8eqb57beg5u1azw6,11,0.000519
gemm.openmp8eqb57beg5u1azw6,12,0.000452
gemm.openmp8eqb57beg5u1azw6,12,0.000483
gemm.openmp8eqb57beg5u1azw6,12,0.000458
gemm.openmp8eqb57beg5u1azw6,12,0.000458
gemm.openmp8eqb57beg5u1azw6,12,0.000472
gemm.openmp8eqb57beg5u1azw6,13,0.000422
gemm.openmp8eqb57beg5u1azw6,13,0.000457
gemm.openmp8eqb57beg5u1azw6,13,0.000453
gemm.openmp8eqb57beg5u1azw6,13,0.000421
gemm.openmp8eqb57beg5u1azw6,13,0.000471
gemm.openmp8eqb57beg5u1azw6,14,0.000396
gemm.openmp8eqb57beg5u1azw6,14,0.000389
gemm.openmp8eqb57beg5u1azw6,14,0.000379
gemm.openmp8eqb57beg5u1azw6,14,0.000382
gemm.openmp8eqb57beg5u1azw6,14,0.000391
gemm.openmp8eqb57beg5u1azw6,15,0.000384
gemm.openmp8eqb57beg5u1azw6,15,0.000409
gemm.openmp8eqb57beg5u1azw6,15,0.000370
gemm.openmp8eqb57beg5u1azw6,15,0.000379
gemm.openmp8eqb57beg5u1azw6,15,0.000351
gemm.openmp8eqb57beg5u1azw6,16,0.000386
gemm.openmp8eqb57beg5u1azw6,16,0.000351
gemm.openmp8eqb57beg5u1azw6,16,0.000385
gemm.openmp8eqb57beg5u1azw6,16,0.000350
gemm.openmp8eqb57beg5u1azw6,16,0.000386
gemm.openmp8eqb57beg5u1azw6,17,0.000362
gemm.openmp8eqb57beg5u1azw6,17,0.000365
gemm.openmp8eqb57beg5u1azw6,17,0.000342
gemm.openmp8eqb57beg5u1azw6,17,0.000345
gemm.openmp8eqb57beg5u1azw6,17,0.000342
gemm.openmp8eqb57beg5u1azw6,18,0.000318
gemm.openmp8eqb57beg5u1azw6,18,0.000356
gemm.openmp8eqb57beg5u1azw6,18,0.000331
gemm.openmp8eqb57beg5u1azw6,18,0.000342
gemm.openmp8eqb57beg5u1azw6,18,0.000341
gemm.openmp8eqb57beg5u1azw6,19,0.000336
gemm.openmp8eqb57beg5u1azw6,19,0.000330
gemm.openmp8eqb57beg5u1azw6,19,0.000339
gemm.openmp8eqb57beg5u1azw6,19,0.000327
gemm.openmp8eqb57beg5u1azw6,19,0.000314
gemm.openmp8eqb57beg5u1azw6,20,0.000323
gemm.openmp8eqb57beg5u1azw6,20,0.000325
gemm.openmp8eqb57beg5u1azw6,20,0.000328
gemm.openmp8eqb57beg5u1azw6,20,0.000325
gemm.openmp8eqb57beg5u1azw6,20,0.000325
gemm.openmp8eqb57beg5u1azw6,21,0.000324
gemm.openmp8eqb57beg5u1azw6,21,0.000325
gemm.openmp8eqb57beg5u1azw6,21,0.000332
