id,source,O3,fopenmp,DN
gemm.openmp85fj8tba2fygh27n,gemm.openmp,1,1,16
gemm.openmp8eqb57beg5u1azw6,gemm.openmp,1,1,256
gemm.openmp2au7ihkhmesd691o,gemm.openmp,1,1,512
gemm.openmpf78x2dpjwkc3u6wb,gemm.openmp,1,1,1024
